Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,36.2,31.8,40.7,31.8 - 40.7,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.7,30.9,40.8,30.9 - 40.8,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.7,37.9,47.7,37.9 - 47.7,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.3,38.2,44.5,38.2 - 44.5,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.2,36.9,43.6,36.9 - 43.6,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.7,29.5,40.1,29.5 - 40.1,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.4,30.3,36.7,30.3 - 36.7,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.2,34.2,40.3,34.2 - 40.3,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.2,30.2,38.5,30.2 - 38.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.1,29.9,40.5,29.9 - 40.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.3,30.4,40.5,30.4 - 40.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.5,33.4,43.7,33.4 - 43.7,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.1,33.8,42.6,33.8 - 42.6,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.1,37.2,45.1,37.2 - 45.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,44.9,40.5,49.3,40.5 - 49.3,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.7,35.4,42.2,35.4 - 42.2,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.6,36.2,43.1,36.2 - 43.1,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.6,37.8,45.6,37.8 - 45.6,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.0,28.8,37.5,28.8 - 37.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.5,33.9,43.3,33.9 - 43.3,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.2,35.0,45.6,35.0 - 45.6,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.9,31.2,40.9,31.2 - 40.9,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.5,37.1,46.1,37.1 - 46.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.8,34.6,41.2,34.6 - 41.2,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.9,33.5,42.5,33.5 - 42.5,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.2,35.1,45.5,35.1 - 45.5,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.6,36.8,44.5,36.8 - 44.5,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.6,31.1,38.2,31.1 - 38.2,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,30.4,26.1,35.0,26.1 - 35.0,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.9,33.8,42.0,33.8 - 42.0,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.8,34.6,45.1,34.6 - 45.1,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.0,38.1,46.1,38.1 - 46.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.2,34.8,41.7,34.8 - 41.7,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.3,34.5,44.2,34.5 - 44.2,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.6,33.3,44.1,33.3 - 44.1,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.6,34.7,46.8,34.7 - 46.8,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.7,34.9,42.5,34.9 - 42.5,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.5,31.0,38.2,31.0 - 38.2,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.4,36.4,44.5,36.4 - 44.5,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,44.1,39.5,48.9,39.5 - 48.9,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.5,38.8,46.3,38.8 - 46.3,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,43.1,40.1,46.1,40.1 - 46.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.9,33.8,44.1,33.8 - 44.1,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.7,35.0,42.4,35.0 - 42.4,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.0,28.7,37.5,28.7 - 37.5,30.4 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",National Estimate,United States,United States,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.7,31.0,32.3,31.0 - 32.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.9,26.6,31.2,26.6 - 31.2,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.8,28.3,31.4,28.3 - 31.4,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.1,32.6,35.6,32.6 - 35.6,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.4,32.9,35.9,32.9 - 35.9,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.5,31.9,35.2,31.9 - 35.2,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.5,27.8,31.3,27.8 - 31.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.6,20.1,29.5,20.1 - 29.5,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,Male,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.5,27.5,29.5,27.5 - 29.5,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,Female,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.7,33.8,35.6,33.8 - 35.6,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.3,28.9,33.8,28.9 - 33.8,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.5,30.8,32.2,30.8 - 32.2,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.4,31.0,35.8,31.0 - 35.8,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,26.3,23.8,29.0,23.8 - 29.0,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.6,35.2,42.1,35.2 - 42.1,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,30.8,26.7,35.1,26.7 - 35.1,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.2,27.9,30.6,27.9 - 30.6,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.1,33.0,35.3,33.0 - 35.3,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.0,31.2,32.8,31.2 - 32.8,
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.5,28.0,39.4,28.0 - 39.4,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.0,29.5,36.5,29.5 - 36.5,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.1,27.7,34.7,27.7 - 34.7,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.4,24.6,34.6,24.6 - 34.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.3,28.4,34.3,28.4 - 34.3,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.5,28.2,35.0,28.2 - 35.0,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.1,26.9,35.6,26.9 - 35.6,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.7,25.2,34.6,25.2 - 34.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.0,26.5,38.0,26.5 - 38.0,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,30.9,28.1,33.9,28.1 - 33.9,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.7,30.7,38.8,30.7 - 38.8,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.4,24.3,35.0,24.3 - 35.0,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.5,25.7,33.6,25.7 - 33.6,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.1,27.5,34.7,27.5 - 34.7,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.9,26.1,34.0,26.1 - 34.0,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.6,23.2,34.4,23.2 - 34.4,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.1,24.2,32.2,24.2 - 32.2,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.4,28.1,36.9,28.1 - 36.9,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,36.3,30.8,42.1,30.8 - 42.1,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.5,27.8,35.3,27.8 - 35.3,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,36.4,32.8,40.2,32.8 - 40.2,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.8,26.5,33.4,26.5 - 33.4,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.8,28.8,35.0,28.8 - 35.0,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.7,28.0,35.6,28.0 - 35.6,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.3,26.9,35.9,26.9 - 35.9,30.0 - 31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.5,28.6,36.6,28.6 - 36.6,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.9,30.0,42.1,30.0 - 42.1,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.0,20.6,27.5,20.6 - 27.5,20.6 - 29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.3,28.7,38.2,28.7 - 38.2,33.2 - 36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.5,28.8,36.4,28.8 - 36.4,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.1,28.4,35.9,28.4 - 35.9,31.8 - 33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.7,27.4,38.4,27.4 - 38.4,31.8 - 33.1
